State,District,Censuscode,Year,Predicted_GDDP (million )
Maharashtra,Ahmadnagar,522,1992,114612.3
Maharashtra,Ahmadnagar,522,1993,125059.2
Maharashtra,Ahmadnagar,522,1994,127659.4
Maharashtra,Ahmadnagar,522,1995,142510
Maharashtra,Ahmadnagar,522,1996,150496.5
Maharashtra,Ahmadnagar,522,1997,157059.6
Maharashtra,Ahmadnagar,522,1998,164613.5
Maharashtra,Ahmadnagar,522,1999,176884.2
Maharashtra,Ahmadnagar,522,2000,176338.7
Maharashtra,Ahmadnagar,522,2001,183977.6
Maharashtra,Ahmadnagar,522,2002,192312.1
Maharashtra,Ahmadnagar,522,2003,206792.9
Maharashtra,Ahmadnagar,522,2004,220918.8
Maharashtra,Ahmadnagar,522,2005,236636.3
Maharashtra,Ahmadnagar,522,2006,261468.1
Maharashtra,Ahmadnagar,522,2007,288055.9
Maharashtra,Ahmadnagar,522,2008,296211
Maharashtra,Ahmadnagar,522,2009,318963.8
Maharashtra,Ahmadnagar,522,2010,350416.2
Maharashtra,Ahmadnagar,522,2011,375777.3
Maharashtra,Ahmadnagar,522,2012,389298.6
Maharashtra,Ahmadnagar,522,2013,415326.4
Maharashtra,Ahmadnagar,522,2014,437433.6
Maharashtra,Ahmadnagar,522,2015,470077.1
Maharashtra,Ahmadnagar,522,2016,509078.3
Maharashtra,Ahmadnagar,522,2017,537888.6
Maharashtra,Ahmadnagar,522,2018,559359.4
Maharashtra,Ahmadnagar,522,2019,586186.5
Maharashtra,Ahmadnagar,522,2020,537300.4
Maharashtra,Ahmadnagar,522,2021,583119
Maharashtra,Ahmadnagar,522,2022,642396.5
Maharashtra,Ahmadnagar,522,2023,691492
Maharashtra,Akola,501,1992,39749.65
Maharashtra,Akola,501,1993,44429.49
Maharashtra,Akola,501,1994,45370.47
Maharashtra,Akola,501,1995,50804.67
Maharashtra,Akola,501,1996,52937.88
Maharashtra,Akola,501,1997,54874.5
Maharashtra,Akola,501,1998,57759.17
Maharashtra,Akola,501,1999,62736.4
Maharashtra,Akola,501,2000,62451.37
Maharashtra,Akola,501,2001,64480.88
Maharashtra,Akola,501,2002,67822.08
Maharashtra,Akola,501,2003,73072.55
Maharashtra,Akola,501,2004,77482.93
Maharashtra,Akola,501,2005,84599.02
Maharashtra,Akola,501,2006,89732.69
Maharashtra,Akola,501,2007,100601.1
Maharashtra,Akola,501,2008,102845.8
Maharashtra,Akola,501,2009,110886.3
Maharashtra,Akola,501,2010,122805.5
Maharashtra,Akola,501,2011,130400.3
Maharashtra,Akola,501,2012,139589.7
Maharashtra,Akola,501,2013,148465.8
Maharashtra,Akola,501,2014,156197.1
Maharashtra,Akola,501,2015,166212.6
Maharashtra,Akola,501,2016,178914.3
Maharashtra,Akola,501,2017,188561.8
Maharashtra,Akola,501,2018,194718
Maharashtra,Akola,501,2019,203637.4
Maharashtra,Akola,501,2020,186864.4
Maharashtra,Akola,501,2021,204735.1
Maharashtra,Akola,501,2022,222177.6
Maharashtra,Akola,501,2023,237238.4
Maharashtra,Amravati,503,1992,61656.04
Maharashtra,Amravati,503,1993,69653.52
Maharashtra,Amravati,503,1994,71705.57
Maharashtra,Amravati,503,1995,79824.09
Maharashtra,Amravati,503,1996,83299.56
Maharashtra,Amravati,503,1997,85755.71
Maharashtra,Amravati,503,1998,90767.38
Maharashtra,Amravati,503,1999,98247.07
Maharashtra,Amravati,503,2000,97591.77
Maharashtra,Amravati,503,2001,101283.5
Maharashtra,Amravati,503,2002,106112.9
Maharashtra,Amravati,503,2003,114460.2
Maharashtra,Amravati,503,2004,122482.9
