State,year,Predicted_GSDP(Rs Lakh)
ANDAMAN & NICOBAR,1992,107779
ANDAMAN & NICOBAR,1993,125990
ANDAMAN & NICOBAR,1994,133243.3
ANDAMAN & NICOBAR,1995,141582.6
ANDAMAN & NICOBAR,1996,149246.4
ANDAMAN & NICOBAR,1997,152010.6
ANDAMAN & NICOBAR,1998,150132.7
ANDAMAN & NICOBAR,1999,158590.4
ANDAMAN & NICOBAR,2000,162655.3
ANDAMAN & NICOBAR,2001,166880.3
ANDAMAN & NICOBAR,2002,182704.9
ANDAMAN & NICOBAR,2003,196848
ANDAMAN & NICOBAR,2004,213008.7
ANDAMAN & NICOBAR,2005,209682
ANDAMAN & NICOBAR,2006,238559.7
ANDAMAN & NICOBAR,2007,268129.3
ANDAMAN & NICOBAR,2008,290743.9
ANDAMAN & NICOBAR,2009,328043.5
ANDAMAN & NICOBAR,2010,357165.2
ANDAMAN & NICOBAR,2011,374923.3
ANDAMAN & NICOBAR,2012,362417.2
ANDAMAN & NICOBAR,2013,392473.3
ANDAMAN & NICOBAR,2014,408659.2
ANDAMAN & NICOBAR,2015,432159.8
ANDAMAN & NICOBAR,2016,479007.7
ANDAMAN & NICOBAR,2017,533386.8
ANDAMAN & NICOBAR,2018,567306.4
ANDAMAN & NICOBAR,2019,594022.2
ANDAMAN & NICOBAR,2020,561173.5
ANDAMAN & NICOBAR,2021,577894.6
ANDAMAN & NICOBAR,2022,627478
ANDAMAN & NICOBAR,2023,656954.4
ANDHRA PRADESH,1992,11100000
ANDHRA PRADESH,1993,12700000
ANDHRA PRADESH,1994,13100000
ANDHRA PRADESH,1995,14300000
ANDHRA PRADESH,1996,15100000
ANDHRA PRADESH,1997,14800000
ANDHRA PRADESH,1998,16600000
ANDHRA PRADESH,1999,17400000
ANDHRA PRADESH,2000,18600000
ANDHRA PRADESH,2001,19400000
ANDHRA PRADESH,2002,20100000
ANDHRA PRADESH,2003,21500000
ANDHRA PRADESH,2004,23400000
ANDHRA PRADESH,2005,24200000
ANDHRA PRADESH,2006,26300000
ANDHRA PRADESH,2007,29300000
ANDHRA PRADESH,2008,29800000
ANDHRA PRADESH,2009,32000000
ANDHRA PRADESH,2010,34300000
ANDHRA PRADESH,2011,36000000
ANDHRA PRADESH,2012,35700000
ANDHRA PRADESH,2013,37900000
ANDHRA PRADESH,2014,40800000
ANDHRA PRADESH,2015,45100000
ANDHRA PRADESH,2016,48000000
ANDHRA PRADESH,2017,52700000
ANDHRA PRADESH,2018,55700000
ANDHRA PRADESH,2019,57600000
ANDHRA PRADESH,2020,58600000
ANDHRA PRADESH,2021,62200000
ANDHRA PRADESH,2022,65900000
ANDHRA PRADESH,2023,69800000
ARUNACHAL PRADESH,1992,337250
ARUNACHAL PRADESH,1993,371999.5
ARUNACHAL PRADESH,1994,334840.9
ARUNACHAL PRADESH,1995,396954.6
ARUNACHAL PRADESH,1996,407300
ARUNACHAL PRADESH,1997,407270.9
ARUNACHAL PRADESH,1998,433736
ARUNACHAL PRADESH,1999,467433.4
ARUNACHAL PRADESH,2000,473646.2
ARUNACHAL PRADESH,2001,532452.6
ARUNACHAL PRADESH,2002,509773.9
ARUNACHAL PRADESH,2003,564801.6
ARUNACHAL PRADESH,2004,666450.5
ARUNACHAL PRADESH,2005,666346.9
ARUNACHAL PRADESH,2006,698047.7
ARUNACHAL PRADESH,2007,777947.6
